Karza FSSAI Address,LFA1_Address,Vendor code ,FSSAI Number ,Remarks,Score,pincodes,Final Remark
"M/S COUNTRY OVEN (A UNIT OF KARTHIK ENTERPRISES),6-3-862/1&2, GREENLANDS, AMEERPET, HYDERABAD. REPRESENTED BY DR.SUDHAKAR RAO POLSANI., HYDERABAD, TELANGANA, 500038",6 3 862 2  NAMRATA ESTATES BEHIND COUNTRY OVEN AMEERPET TELANGANA 500016,10000040,13614011002031,not match,65.2631578947369,False,Ok But Wrong Pincode
"CHAKOLAS HABITAT,ABLOCK 1C,THEVARA FERRY ROAD, COCHIN 682 013, ERNAKULAM, KERALA, 682013",AMALGAM HOUSE WILLANGTON ISLAND KERALA 682003,10000083,10012041000100,not match,38.2608695652174,False,Not Match
"SURVEY NO. 868, MUSTABAD ROAD, NEAR ANDHRA JOTHI, NUNNA VILLAGE, NEAR RAMAVARPADU RING, VIJAYAWADA RURAL, N T R, ANDHRA PRADESH, 521212",SURVEY NO  868  MUSTABAD ROAD NEAR ANDHRA JOTHI  NUNNA VILLAGE ANDHRA PRADESH 521212,10000453,10020044002096,match,100,True,Match
"SURVEY NO. 868, MUSTABAD ROAD, NEAR ANDHRA JOTHI, NUNNA VILLAGE, NEAR RAMAVARPADU RING, VIJAYAWADA RURAL, N T R, ANDHRA PRADESH, 521212",MANKHAL VILLAGE R S NO 746 B 1 746A TELANGANA 501359,25011239,10020044002096,not match,42.1052631578947,False,Not Match
"BUILDING NO. 21/499, KONGORPILLY PO, ALANGAD, KOCHAL, COCHIN, ERNAKULAM, KERALA, 683518",BUILDING NO  21 499  KONGORPILLY PO  ALANGAD  KOCHAL COCHIN KERALA 683518,10008723,10021041000372,match,100,True,Match
"KHASRA NO.145-146, VILLAGE KHERWARI, NEAR RAJASTHAN KRISHI ANUSANDHAN KENDRA, JAIPUR , JAIPUR, RAJASTHAN, 303805",KHASRA NO 145 146  VILLAGE KHERWARI RAJASTHAN KRISHI ANUSANDHAN KENDRA RAJASTHAN 303805,10000570,12216026000201,match,93.8461538461538,True,Match
"C/O SRI BHAGAVATI TRADERS PVT LTD, DOOR NO: II/181 B, THRICHATTUKULAM POST, AROOKUTTY, CHERTHALA, ALLEPPY, KERALA- 688526, ALAPPUZHA, KERALA, 688526",BUILDING NO  XV 23  24 25 LAKSHMI NARAYANA TEMPLE KERALA 682506,10009125,11320004000175,not match,31.2849162011173,False,Not Match
"C/O SRI BHAGAVATI TRADERS PVT LTD, DOOR NO: II/181 B, THRICHATTUKULAM POST, AROOKUTTY, CHERTHALA, ALLEPPY, KERALA- 688526, ALAPPUZHA, KERALA, 688526",DOOR NO II 181 B  C O SRI BHAGAVATH TRADERS PVT LTD  THRICHATTUKULAM KERALA 688526,25020755,11320004000175,match,90.2255639097744,True,Match
"G-37, INDUSTRIAL AREA, LAWRENCE ROAD, DELHI-110035, NORTH WEST   , DELHI, 110035",G 37  GROUP INDUSTRIES  LAWRANCE ROAD  DELHI 110035,10000950,10012011000842,not match,62.6262626262626,True,Match
"21/499 & 502-A, KONGORPILLY.P.O, ALANGAD,KOCHAL,ERNAKULAM, ERNAKULAM, KERALA, 683518",21 499   502 A  KONGORPILLY  P O  LANGAD  KOCHAL  ERNAKULAM KERALA 683518,10009399,11321007000973,match,95.8677685950413,True,Match
